name total correct accuracy error macro_f1
caltech101/1shots/1ctx/16prompts/seed1     
caltech101/1shots/1ctx/16prompts/seed2     
caltech101/1shots/1ctx/16prompts/seed3     
caltech101/1shots/2ctx/8prompts/seed1 2465 2104 85.4 14.6 79.1
caltech101/1shots/2ctx/8prompts/seed2 2465 2167 87.9 12.1 82.1
caltech101/1shots/2ctx/8prompts/seed3 2465 2148 87.1 12.9 81.1
caltech101/1shots/4ctx/4prompts/seed1 2465 2181 88.5 11.5 82.9
caltech101/1shots/4ctx/4prompts/seed2 2465 2166 87.9 12.1 83.0
caltech101/1shots/4ctx/4prompts/seed3 2465 2197 89.1 10.9 84.3
caltech101/1shots/8ctx/2prompts/seed1 2465 2118 85.9 14.1 79.9
caltech101/1shots/8ctx/2prompts/seed2 2465 2172 88.1 11.9 83.6
caltech101/1shots/8ctx/2prompts/seed3 2465 2186 88.7 11.3 83.9
caltech101/1shots/16ctx/1prompts/seed1 2465 2142 86.9 13.1 80.8
caltech101/1shots/16ctx/1prompts/seed2 2465 2163 87.7 12.3 82.9
caltech101/1shots/16ctx/1prompts/seed3 2465 2163 87.7 12.3 83.5
caltech101/2shots/1ctx/16prompts/seed1     
caltech101/2shots/1ctx/16prompts/seed2     
caltech101/2shots/1ctx/16prompts/seed3     
caltech101/2shots/2ctx/8prompts/seed1 2465 2186 88.7 11.3 83.0
caltech101/2shots/2ctx/8prompts/seed2 2465 2182 88.5 11.5 83.4
caltech101/2shots/2ctx/8prompts/seed3 2465 2204 89.4 10.6 85.0
caltech101/2shots/4ctx/4prompts/seed1 2465 2208 89.6 10.4 84.4
caltech101/2shots/4ctx/4prompts/seed2 2465 2185 88.6 11.4 84.2
caltech101/2shots/4ctx/4prompts/seed3 2465 2209 89.6 10.4 85.5
caltech101/2shots/8ctx/2prompts/seed1 2465 2203 89.4 10.6 84.1
caltech101/2shots/8ctx/2prompts/seed2 2465 2180 88.4 11.6 84.6
caltech101/2shots/8ctx/2prompts/seed3 2465 2208 89.6 10.4 85.4
caltech101/2shots/16ctx/1prompts/seed1 2465 2192 88.9 11.1 83.6
caltech101/2shots/16ctx/1prompts/seed2 2465 2146 87.1 12.9 83.5
caltech101/2shots/16ctx/1prompts/seed3 2465 2204 89.4 10.6 85.5
caltech101/4shots/1ctx/16prompts/seed1     
caltech101/4shots/1ctx/16prompts/seed2     
caltech101/4shots/1ctx/16prompts/seed3     
caltech101/4shots/2ctx/8prompts/seed1 2465 2222 90.1 9.9 85.1
caltech101/4shots/2ctx/8prompts/seed2 2465 2231 90.5 9.5 86.1
caltech101/4shots/2ctx/8prompts/seed3 2465 2225 90.3 9.7 85.6
caltech101/4shots/4ctx/4prompts/seed1 2465 2218 90.0 10.0 85.1
caltech101/4shots/4ctx/4prompts/seed2 2465 2227 90.3 9.7 86.2
