name total correct accuracy error macro_f1
caltech101/16shots/1run/1prompts/seed1 2465 2271 92,1 7,9 88,6
caltech101/16shots/1run/1prompts/seed2 2465 2283 92,6 7,4 89,4
caltech101/16shots/1run/1prompts/seed3 2465 2264 91,8 8,2 88,7
caltech101/16shots/1run/2prompts/seed1 2465 2267 92,0 8,0 88,6
caltech101/16shots/1run/2prompts/seed2 2465 2268 92,0 8,0 88,5
caltech101/16shots/1run/2prompts/seed3 2465 2261 91,7 8,3 88,2
caltech101/16shots/1run/4prompts/seed1 2465 2268 92,0 8,0 88,5
caltech101/16shots/1run/4prompts/seed2 2465 2281 92,5 7,5 89,2
caltech101/16shots/1run/4prompts/seed3 2465 2275 92,3 7,7 89,2
caltech101/16shots/1run/8prompts/seed1     
caltech101/16shots/1run/8prompts/seed2     
caltech101/16shots/1run/8prompts/seed3     
caltech101/16shots/1run/16prompts/seed1     
caltech101/16shots/1run/16prompts/seed2     
caltech101/16shots/1run/16prompts/seed3     
caltech101/16shots/1run/32prompts/seed1     
caltech101/16shots/1run/32prompts/seed2     
caltech101/16shots/1run/32prompts/seed3     
caltech101/16shots/2run/1prompts/seed1 2465 2271 92,1 7,9 88,6
caltech101/16shots/2run/1prompts/seed2 2465 2273 92,2 7,8 88,9
caltech101/16shots/2run/1prompts/seed3 2465 2264 91,8 8,2 88,7
caltech101/16shots/2run/2prompts/seed1 2465 2261 91,7 8,3 88,5
caltech101/16shots/2run/2prompts/seed2 2465 2268 92,0 8,0 88,5
caltech101/16shots/2run/2prompts/seed3 2465 2263 91,8 8,2 88,3
caltech101/16shots/2run/4prompts/seed1 2465 2268 92,0 8,0 88,5
caltech101/16shots/2run/4prompts/seed2 2465 2281 92,5 7,5 89,2
caltech101/16shots/2run/4prompts/seed3 2465 2275 92,3 7,7 89,2
caltech101/16shots/2run/8prompts/seed1     
caltech101/16shots/2run/8prompts/seed2     
caltech101/16shots/2run/8prompts/seed3     
caltech101/16shots/2run/16prompts/seed1     
caltech101/16shots/2run/16prompts/seed2     
caltech101/16shots/2run/16prompts/seed3     
caltech101/16shots/2run/32prompts/seed1     
caltech101/16shots/2run/32prompts/seed2     
caltech101/16shots/2run/32prompts/seed3     
caltech101/16shots/3run/1prompts/seed1 2465 2266 91,9 8,1 88,4
caltech101/16shots/3run/1prompts/seed2 2465 2269 92,0 8,0 88,6
caltech101/16shots/3run/1prompts/seed3 2465 2270 92,1 7,9 88,9
caltech101/16shots/3run/2prompts/seed1 2465 2260 91,7 8,3 88,4
caltech101/16shots/3run/2prompts/seed2 2465 2268 92,0 8,0 88,4
caltech101/16shots/3run/2prompts/seed3 2465 2263 91,8 8,2 88,3
caltech101/16shots/3run/4prompts/seed1 2465 2282 92,6 7,4 89,3
caltech101/16shots/3run/4prompts/seed2 2465 2285 92,7 7,3 89,4
caltech101/16shots/3run/4prompts/seed3 2465 2275 92,3 7,7 89,2
caltech101/16shots/3run/8prompts/seed1     
caltech101/16shots/3run/8prompts/seed2     
caltech101/16shots/3run/8prompts/seed3     
caltech101/16shots/3run/16prompts/seed1     
caltech101/16shots/3run/16prompts/seed2     
caltech101/16shots/3run/16prompts/seed3     
caltech101/16shots/3run/32prompts/seed1     
caltech101/16shots/3run/32prompts/seed2     
caltech101/16shots/3run/32prompts/seed3     
caltech101/16shots/4run/1prompts/seed1 2465 2271 92,1 7,9 88,6
caltech101/16shots/4run/1prompts/seed2 2465 2273 92,2 7,8 88,9
caltech101/16shots/4run/1prompts/seed3 2465 2264 91,8 8,2 88,7
caltech101/16shots/4run/2prompts/seed1 2465 2260 91,7 8,3 88,4
caltech101/16shots/4run/2prompts/seed2 2465 2268 92,0 8,0 88,5
caltech101/16shots/4run/2prompts/seed3 2465 2263 91,8 8,2 88,3
caltech101/16shots/4run/4prompts/seed1 2465 2268 92,0 8,0 88,5
caltech101/16shots/4run/4prompts/seed2 2465 2281 92,5 7,5 89,2
caltech101/16shots/4run/4prompts/seed3 2465 2275 92,3 7,7 89,2
caltech101/16shots/4run/8prompts/seed1     
caltech101/16shots/4run/8prompts/seed2     
caltech101/16shots/4run/8prompts/seed3     
caltech101/16shots/4run/16prompts/seed1     
caltech101/16shots/4run/16prompts/seed2     
caltech101/16shots/4run/16prompts/seed3     
caltech101/16shots/4run/32prompts/seed1     
caltech101/16shots/4run/32prompts/seed2     
caltech101/16shots/4run/32prompts/seed3     
caltech101/16shots/5run/1prompts/seed1 2465 2271 92,1 7,9 88,6
caltech101/16shots/5run/1prompts/seed2 2465 2283 92,6 7,4 89,4
caltech101/16shots/5run/1prompts/seed3 2465 2265 91,9 8,1 88,8
caltech101/16shots/5run/2prompts/seed1 2465 2266 91,9 8,1 88,6
caltech101/16shots/5run/2prompts/seed2 2465 2268 92,0 8,0 88,5
caltech101/16shots/5run/2prompts/seed3 2465 2263 91,8 8,2 88,3
caltech101/16shots/5run/4prompts/seed1 2465 2268 92,0 8,0 88,5
caltech101/16shots/5run/4prompts/seed2 2465 2281 92,5 7,5 89,2
caltech101/16shots/5run/4prompts/seed3 2465 2275 92,3 7,7 89,2
caltech101/16shots/5run/8prompts/seed1     
caltech101/16shots/5run/8prompts/seed2     
caltech101/16shots/5run/8prompts/seed3     
caltech101/16shots/5run/16prompts/seed1     
caltech101/16shots/5run/16prompts/seed2     
caltech101/16shots/5run/16prompts/seed3     
caltech101/16shots/5run/32prompts/seed1     
caltech101/16shots/5run/32prompts/seed2     
caltech101/16shots/5run/32prompts/seed3     
eurosat/16shots/1run/1prompts/seed1 8100 6369 78,6 21,4 78,0
eurosat/16shots/1run/1prompts/seed2 8100 6698 82,7 17,3 81,8
eurosat/16shots/1run/1prompts/seed3 8100 6425 79,3 20,7 78,7
eurosat/16shots/1run/2prompts/seed1 8100 6581 81,2 18,8 80,5
eurosat/16shots/1run/2prompts/seed2 8100 6679 82,5 17,5 81,8
eurosat/16shots/1run/2prompts/seed3 8100 6748 83,3 16,7 82,8
eurosat/16shots/1run/4prompts/seed1 8100 6614 81,7 18,3 81,0
eurosat/16shots/1run/4prompts/seed2 8100 6673 82,4 17,6 81,5
eurosat/16shots/1run/4prompts/seed3 8100 6524 80,5 19,5 80,0
eurosat/16shots/1run/8prompts/seed1 8100 6631 81,9 18,1 81,0
eurosat/16shots/1run/8prompts/seed2 8100 6642 82,0 18,0 81,2
